transformed_date,namespace_value,total_fees,mb_posted
2024-01-28,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.082539,17.926945
2024-01-02,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.04264699999999997,1.856152
2024-02-07,AAAAAAAAAAAAAAAAAAAAAAAAAMod4SpEhvjI9cc=,3.5869499999999994,2.570724
2024-01-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.039325000000000006,2.121134
2024-01-23,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.044420999999999988,2.357409
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.041748,2.253605
2024-01-30,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.070307000000000008,2.674069
2024-01-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.041034999999999995,2.221809
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.005687,0.204432
2024-01-03,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.0016,2e-05
2023-11-28,AAAAAAAAAAAAAAAAAAAAAAAAAAAAtwyT7znK7sA=,1.7000000000000004,0.192847
2023-11-20,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEpvc2g=,0.00798,0.000382
2023-12-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAAtwyT7znK7sA=,0.2,0.001382
,AAAAAAAAAAAAAAAAAAAAAAAAAExABw99PL3xqmk=,0.023939999999999996,8e-06
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.074567999999999954,2.879494
2023-12-13,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2xpZGU=,0.35955999999999994,20.975649
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,3.47388,69.915786
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.07464800000000002,2.960447
2023-12-23,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,11.327986,48.697063
2024-01-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.16245500000000002,3.115192
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.075224,2.982985
2024-02-02,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,2.856862,12.164779
2024-01-24,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.30742800000000015,6.078896
2024-02-08,AAAAAAAAAAAAAAAAAAAAAAAAAMod4SpEhvjI9cc=,0.044571999999999994,0.054225
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEpvc2g=,0.20032,0.124128
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.049353,2.603307
2024-01-25,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.066591000000000011,2.494708
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.15249999999999997,7.578095
2024-01-24,AAAAAAAAAAAAAAAAAAAAAAAAAAAADNtEcdl1sYY=,0.036965,2.000315
2024-02-02,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.039983,2.088967
2024-02-06,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.164408,9.536467
2023-12-12,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00096,0.000392
2023-11-12,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEpvc2g=,0.25105500000000003,0.258974
2023-12-13,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAZWNsdDM=,0.00032,2e-05
,AAAAAAAAAAAAAAAAAAAAAAAAAFSXMHrFo/04iz4=,0.01596,8e-06
2023-12-30,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,5.8699790000000007,25.208833
2024-01-19,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.046187,2.41765
2024-01-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.051944000000000011,1.846333
2024-01-26,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.21151899999999996,10.997214
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.98606600000000011,1.442655
2024-02-02,AAAAAAAAAAAAAAAAAAAAAAAAAAAADE4vVvVyRsg=,0.056734000000000014,1.895008
2024-01-16,AAAAAAAAAAAAAAAAAAAAAAAAAAAACOX2eb9xFss=,0.30243599999999982,0.02183
2024-01-22,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.20400000000000013,1.845723
2024-02-05,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.19527699999999998,10.604747
,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAHRlc3QtbnM=,0.062047,0.06367
2024-01-06,AAAAAAAAAAAAAAAAAAAAAAAAABZpPvkuORAP3eM=,0.00313,0.165356
2023-11-12,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAZ20=,0.00798,6e-06
2023-12-11,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQmk=,0.00048000000000000007,6e-06
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHRpYWE=,0.001,4.8e-05
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAByaWNrcm9sbAo=,0.00016,3.7e-05
2024-01-29,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.008778,0.507235
2023-12-21,AAAAAAAAAAAAAAAAAAAAAAAAAGhlbGxvd29ybGQ=,0.000451,0.008116
2024-01-26,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,4.2524249999999988,18.721874
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAABYTLU4hLOUU=,0.17407100000000003,8.774487
2024-02-01,AAAAAAAAAAAAAAAAAAAAAAAAAAAAC07kntyDQ8A=,0.054169000000000016,1.883072
2024-02-04,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.28668300000000008,5.321831
2024-01-04,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,2.9486549999999996,12.55144
2023-12-15,AAAAAAAAAAAAAAAAAAAAAAAAAD7oXf20+S/sEj0=,0.12093199999999994,0.56009
2024-01-31,AAAAAAAAAAAAAAAAAAAAAAAAAAAACLkdk+ILapw=,0.06668700000000001,2.517196
2024-01-09,AAAAAAAAAAAAAAAAAAAAAAAAAAAACAgICAgICAg=,0.34008299999999986,17.465483
2023-12-17,AAAAAAAAAAAAAAAAAAAAAAAAAIZiad33fbxA7Z0=,0.113417,5.470336
2024-01-15,AAAAAAAAAAAAAAAAAAAAAAAAAEJpDCBNOWAP3dM=,0.00304,4.2e-05
2024-01-02,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.38010699999999992,22.166936
2023-12-23,AAAAAAAAAAAAAAAAAAAAAAAAAGFzdHJvZ2x5cGg=,0.33318299999999995,18.930377
2024-01-10,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAJBA=,0.068594000000000044,1.819069
2024-01-18,AAAAAAAAAAAAAAAAAAAAAAAAAAAADBuw7+PjGs8=,0.048898999999999984,2.576784
